Date,Open,High,Low,Close,Adj Close,Volume,Comp_Social,Neg_Social,Neu_Social,Pos_Social,Comp_News,Pos_News,Neu_News,Neg_News
08-03-2022,679.650024,692,670.599976,688.849976,688.849976,3831397,0.7096,0,0.831,0.169,0,0,1,0
03-03-2022,718.799988,724.599976,703,706.700012,706.700012,7533817,0.8176,0,0.898,0.102,0,0,1,0
25-02-2022,674.5,703,670.25,695.150024,695.150024,5738223,0.5719,0.026,0.898,0.076,0,0,1,0
24-02-2022,682,688,651.950012,654.849976,654.849976,9547717,0.0772,0.074,0.829,0.097,0,0,1,0
22-02-2022,698,711.099976,685,705.549988,705.549988,6112926,0.296,0,0.855,0.145,0,0,1,0
21-02-2022,722.700012,726.75,709.549988,711.099976,711.099976,2805791,-0.7269,0.183,0.729,0.088,0,0,1,0
16-02-2022,724.900024,750.849976,722.099976,740.75,740.75,9382605,0.9371,0,0.745,0.255,0,0,1,0
10-02-2022,736.900024,741.549988,728.049988,731.049988,731.049988,4752601,-0.4509,0.083,0.872,0.045,0,0,1,0
09-02-2022,722,735.400024,719.049988,733.450012,733.450012,3186942,-0.5574,0.136,0.823,0.041,0,0,1,0
08-02-2022,719,723,703,717.799988,717.799988,3207780,0.32,0.089,0.798,0.113,0,0,1,0
04-02-2022,735,741.150024,724,726.950012,726.950012,2453595,-0.9201,0.253,0.705,0.042,0,0,1,0
02-02-2022,723.900024,746.849976,721.5,745.200012,745.200012,6167378,-0.5267,0.09,0.879,0.031,0.296,0.047,0.953,0
01-02-2022,721,744.299988,720.650024,738.75,738.75,6052108,0.6597,0,0.929,0.071,0.4588,0.066,0.907,0.027
31-01-2022,719.700012,723.900024,714.549988,716.299988,716.299988,2152066,0.2023,0,0.954,0.046,0.4588,0.066,0.907,0.027
27-01-2022,699.799988,712.299988,691,709.099976,709.099976,4749083,-0.1926,0.028,0.952,0.019,0.4588,0.066,0.907,0.027
19-01-2022,761.75,761.75,736,744.200012,744.200012,5843870,-0.5267,0.141,0.811,0.049,0.4588,0.066,0.907,0.027
18-01-2022,780,790,760,762.950012,762.950012,4300929,0,0,1,0,0.4588,0.066,0.907,0.027
13-01-2022,763,776,760,772.200012,772.200012,4049411,0.2732,0.026,0.932,0.042,0.8625,0.135,0.842,0.022
11-01-2022,738.650024,768.900024,728.5,765.099976,765.099976,8959781,0.9552,0.033,0.811,0.157,0.8779,0.125,0.855,0.02
06-01-2022,748.900024,748.900024,730.099976,739.799988,739.799988,5440633,0.0253,0.102,0.777,0.121,0.8779,0.125,0.855,0.02
22-12-2021,727,729.900024,717.25,722.849976,722.849976,3626585,-0.5267,0.121,0.837,0.042,0.9325,0.151,0.832,0.017
21-12-2021,710,728,701.700012,725.599976,725.599976,6943546,0.6597,0,0.878,0.122,0.9325,0.151,0.832,0.017
16-12-2021,752,756.450012,739.349976,745.150024,745.150024,3303620,0.5994,0,0.928,0.072,0.9153,0.121,0.863,0.016
15-12-2021,763.700012,766.650024,742.950012,745.5,745.5,4673906,-0.5267,0.127,0.829,0.044,0.9153,0.121,0.863,0.016
14-12-2021,755.900024,766,750.5,763.700012,763.700012,2919015,0.8765,0,0.866,0.134,0.9153,0.121,0.863,0.016
06-12-2021,739,744.5,721.5,723.450012,723.450012,3537411,0.8192,0,0.909,0.091,0.8979,0.119,0.845,0.036
03-12-2021,739,746.5,734,737.450012,737.450012,5578503,0.5859,0,0.921,0.079,0.8979,0.119,0.845,0.036
02-12-2021,710,742.299988,702.299988,739.099976,739.099976,8478638,0.8225,0.066,0.793,0.142,0.8979,0.119,0.845,0.036
01-12-2021,695,711.049988,682.75,707.950012,707.950012,5582125,0.0258,0.092,0.786,0.122,0.8979,0.119,0.845,0.036
30-11-2021,704,712.650024,679.700012,683.849976,683.849976,6190734,-0.4939,0.127,0.784,0.088,0.8979,0.119,0.845,0.036
29-11-2021,707,715,682.650024,702.599976,702.599976,5930351,0.0731,0.075,0.845,0.08,0.8979,0.119,0.845,0.036
25-11-2021,764.799988,774.299988,755.5,762.450012,762.450012,6140941,0,0,1,0,0.8979,0.113,0.852,0.035
24-11-2021,735.650024,772.349976,732,763.049988,763.049988,11647665,0.5807,0.084,0.794,0.122,0.8979,0.113,0.852,0.035
23-11-2021,714,733.599976,705.200012,729.25,729.25,3487221,0.0258,0,0.977,0.023,0.8979,0.113,0.852,0.035
11-11-2021,734.950012,741.549988,728.5,735.099976,735.099976,2325810,-0.4015,0.059,0.888,0.052,0.8979,0.104,0.864,0.032
02-11-2021,707,715,700.650024,702.349976,702.349976,3028354,0.2037,0.075,0.788,0.137,0.8979,0.104,0.864,0.032
29-10-2021,697,709.599976,687,693,693,7612968,0.9432,0.024,0.8,0.176,0.8979,0.104,0.864,0.032
28-10-2021,724.349976,734.5,681.150024,688.099976,688.099976,18160551,-0.34,0.069,0.879,0.052,0.9493,0.123,0.849,0.029
27-10-2021,753.650024,756.549988,743.650024,745.849976,745.849976,3246881,0.9464,0.015,0.84,0.145,0.9702,0.129,0.847,0.024
22-10-2021,780.299988,787.299988,753.900024,761.799988,761.799988,3860760,0,0,1,0,0.9702,0.129,0.847,0.024
