Date,Open,High,Low,Close,Adj Close,Volume,Comp_Social,Neg_Social,Neu_Social,Pos_Social,Comp_News,Pos_News,Neu_News,Neg_News
11-03-2022,3400,3445.5,3386.449951,3423,3423,156038,0.992,0.036,0.841,0.123,0,0,1,0
10-03-2022,3399,3440,3385.399902,3422.350098,3422.350098,350154,0.9948,0,0.923,0.077,0,0,1,0
09-03-2022,3320,3360,3293,3339,3339,508262,0.9766,0.041,0.875,0.084,0,0,1,0
08-03-2022,3229,3354.449951,3175.699951,3317.100098,3317.100098,557492,0.9985,0.031,0.843,0.126,0,0,1,0
07-03-2022,3185,3279,3125,3234.649902,3234.649902,335205,0.9657,0.051,0.856,0.093,0,0,1,0
04-03-2022,3251,3285.949951,3151,3242.100098,3242.100098,509620,0.9936,0.028,0.882,0.091,0,0,1,0
03-03-2022,3399,3404.800049,3279,3297.100098,3297.100098,536758,-0.8763,0.081,0.855,0.064,0,0,1,0
02-03-2022,3498.300049,3498.300049,3333,3372.300049,3372.300049,982580,0.9874,0.078,0.831,0.092,0,0,1,0
28-02-2022,3497.699951,3561,3448.050049,3530.350098,3530.350098,387040,-0.9406,0.07,0.889,0.041,0,0,1,0
25-02-2022,3490.100098,3560,3490.100098,3508.399902,3508.399902,327777,0.9875,0.054,0.827,0.119,0.5994,0.133,0.867,0
24-02-2022,3485.5,3559.300049,3435,3478.899902,3478.899902,628362,0.994,0.036,0.849,0.115,0.5994,0.133,0.867,0
23-02-2022,3615.100098,3639.899902,3570,3580.300049,3580.300049,209392,0.9749,0.053,0.827,0.12,0.5994,0.133,0.867,0
22-02-2022,3520,3615,3515,3600.699951,3600.699951,432562,0.994,0.028,0.84,0.132,0.5994,0.133,0.867,0
21-02-2022,3624.149902,3637.949951,3567.350098,3579.5,3579.5,344326,0.9862,0.021,0.906,0.073,0.4019,0.06,0.94,0
18-02-2022,3597,3642.5,3563.600098,3632.149902,3632.149902,277299,0.9914,0.036,0.887,0.077,0.4019,0.06,0.94,0
17-02-2022,3590.100098,3660,3590.100098,3597.300049,3597.300049,513917,0.9983,0.012,0.901,0.087,0.4019,0.044,0.956,0
16-02-2022,3599,3640,3571.100098,3586.899902,3586.899902,244587,0.8286,0.066,0.843,0.091,0.5994,0.068,0.932,0
15-02-2022,3490,3601,3473.75,3589.199951,3589.199951,357052,0.9987,0.039,0.809,0.152,0.5994,0.068,0.932,0
14-02-2022,3465,3538,3461.350098,3487.949951,3487.949951,282645,0.9926,0.033,0.902,0.065,0.5994,0.068,0.932,0
11-02-2022,3530,3575,3508,3566.649902,3566.649902,339577,0.9998,0.04,0.758,0.202,0.4019,0.033,0.967,0
10-02-2022,3563.350098,3581.550049,3545.649902,3569.350098,3569.350098,239918,0.9999,0.052,0.675,0.273,0.4019,0.033,0.967,0
09-02-2022,3452,3570,3452,3563.550049,3563.550049,352729,0.9992,0.061,0.745,0.194,0.4019,0.033,0.967,0
08-02-2022,3476.100098,3512.949951,3445.899902,3458.649902,3458.649902,397493,0.9957,0.033,0.829,0.138,0.4019,0.033,0.967,0
07-02-2022,3570,3570,3468,3476,3476,286849,0.9946,0.038,0.803,0.159,0.4019,0.033,0.967,0
04-02-2022,3621.100098,3621.100098,3550,3565.350098,3565.350098,296588,0.9947,0.024,0.87,0.106,0.4019,0.033,0.967,0
03-02-2022,3550,3650.949951,3521,3621.100098,3621.100098,760774,0.998,0.038,0.853,0.108,0.4019,0.033,0.967,0
02-02-2022,3540,3585,3521.449951,3535,3535,212256,0.8173,0.063,0.862,0.075,0.4019,0.033,0.967,0
01-02-2022,3577,3592.350098,3511.550049,3534.449951,3534.449951,487464,0.9941,0.013,0.926,0.062,0.4019,0.028,0.972,0
31-01-2022,3520,3585.649902,3487,3564.649902,3564.649902,470500,0.9988,0.011,0.847,0.142,0.4019,0.028,0.972,0
28-01-2022,3505,3562.300049,3485.100098,3497.199951,3497.199951,575466,0.9988,0.021,0.852,0.127,0.4019,0.028,0.972,0
27-01-2022,3445,3536.800049,3394.199951,3501.100098,3501.100098,664333,0.9694,0.057,0.851,0.092,0.4019,0.028,0.972,0
25-01-2022,3359,3490,3328.75,3469.100098,3469.100098,571406,0.9949,0.046,0.814,0.139,0.4019,0.028,0.972,0
24-01-2022,3421,3454.199951,3350,3382.300049,3382.300049,788137,0.9851,0.057,0.846,0.097,0.4019,0.028,0.972,0
21-01-2022,3308.75,3473.949951,3270,3419.800049,3419.800049,1609260,0.9997,0.052,0.8,0.148,0.5994,0.046,0.954,0
20-01-2022,3398.899902,3448,3295,3308.75,3308.75,874508,0.9999,0.048,0.835,0.117,0.1779,0.017,0.971,0.012
19-01-2022,3400.949951,3462.300049,3383.050049,3436.800049,3436.800049,694189,0.9999,0.024,0.865,0.111,0.802,0.047,0.942,0.01
18-01-2022,3488.949951,3497.199951,3392.600098,3400.949951,3400.949951,656590,0.9974,0.036,0.868,0.097,0.8402,0.058,0.923,0.02
17-01-2022,3450,3527,3434.050049,3489.75,3489.75,646271,0.9994,0.02,0.86,0.12,0.8402,0.058,0.923,0.02
14-01-2022,3451,3462.199951,3425,3432.800049,3432.800049,127752,0.9642,0.033,0.869,0.098,0.8402,0.058,0.923,0.02
13-01-2022,3445.899902,3474.300049,3430,3451,3451,291271,0.9918,0.047,0.843,0.11,0.8402,0.058,0.923,0.02
12-01-2022,3446.100098,3452,3414.25,3440.100098,3440.100098,198452,-0.9792,0.085,0.862,0.053,0.8402,0.058,0.923,0.02
