Date,Open,High,Low,Close,Adj Close,Volume,Comp_News,Neg_News,Neu_News,Pos_News,Comp_Social,Neg_Social,Neu_Social,Pos_Social
08-03-2022,1718.449951,1800,1718.449951,1778.199951,1778.199951,10984500,0.5267,0,0.866,0.134,0.4939,0.027,0.907,0.066
07-03-2022,1697,1751,1696,1739.849976,1739.849976,9742588,0.5267,0,0.866,0.134,0.9504,0.04,0.813,0.147
04-03-2022,1695.25,1736,1681,1723.300049,1723.300049,9074499,0.7003,0,0.851,0.149,-0.6757,0.246,0.628,0.126
03-03-2022,1720.199951,1733.900024,1705.550049,1720.849976,1720.849976,7344147,0.8271,0,0.868,0.132,0.8481,0.077,0.801,0.123
02-03-2022,1710,1714.400024,1691,1702.800049,1702.800049,6771489,0.8271,0,0.868,0.132,0,0,1,0
28-02-2022,1682.199951,1728.050049,1665,1715.599976,1715.599976,15076542,0.8271,0,0.868,0.132,-0.3885,0.168,0.832,0
25-02-2022,1715,1728.150024,1677,1694.599976,1694.599976,9737281,0.9081,0,0.829,0.171,0.9028,0.061,0.794,0.145
24-02-2022,1690.099976,1714.949951,1670.5,1678.150024,1678.150024,13592379,0.9081,0,0.829,0.171,0.8581,0.041,0.829,0.13
23-02-2022,1750,1758.25,1733.400024,1742.849976,1742.849976,5478811,0.886,0,0.864,0.136,0,0,1,0
22-02-2022,1699.900024,1751,1691.050049,1734.349976,1734.349976,8878515,0.886,0,0.864,0.136,0.6382,0.073,0.815,0.112
21-02-2022,1701,1737.300049,1691.5,1730.699951,1730.699951,5120890,0.886,0,0.864,0.136,0.6597,0,0.891,0.109
16-02-2022,1738.25,1755.449951,1726.849976,1733.300049,1733.300049,5350642,0.886,0,0.881,0.119,0,0,1,0
14-02-2022,1690,1718.550049,1678.25,1682.199951,1682.199951,7459637,0.886,0,0.881,0.119,0.5766,0,0.86,0.14
11-02-2022,1740,1745.949951,1713,1721.349976,1721.349976,7551371,0.9287,0,0.859,0.141,0.765,0.026,0.887,0.087
10-02-2022,1755.650024,1773.900024,1748.75,1769.599976,1769.599976,4334630,0.9287,0,0.859,0.141,-0.0981,0.095,0.829,0.076
09-02-2022,1735,1743,1725,1737.300049,1737.300049,3867244,0.9287,0,0.859,0.141,0.9633,0.028,0.838,0.134
08-02-2022,1710,1725,1696,1717.300049,1717.300049,6053401,0.9287,0,0.859,0.141,-0.3843,0.044,0.925,0.031
07-02-2022,1722.199951,1732,1695.400024,1715,1715,4310209,0.9287,0,0.859,0.141,0.7351,0.054,0.805,0.141
04-02-2022,1732,1753.949951,1710.150024,1741.099976,1741.099976,4700077,0.9287,0,0.869,0.131,-0.296,0.041,0.959,0
03-02-2022,1779,1779,1734,1738.550049,1738.550049,3832922,0.9287,0,0.869,0.131,0.9524,0,0.851,0.149
02-02-2022,1789,1792.800049,1772,1787.099976,1787.099976,4253717,0.9287,0,0.869,0.131,0.7184,0,0.838,0.162
01-02-2022,1766.099976,1780,1734.699951,1772.050049,1772.050049,5119935,0.9287,0,0.869,0.131,0.5215,0.06,0.802,0.138
31-01-2022,1718,1749.5,1715.349976,1736.199951,1736.199951,8788872,0.9287,0,0.869,0.131,0.9951,0.02,0.76,0.221
28-01-2022,1681,1727.550049,1679.5,1686.199951,1686.199951,10998502,0.9287,0,0.869,0.131,0,0,1,0
27-01-2022,1702,1709.699951,1665,1678.599976,1678.599976,11231734,0.9287,0,0.88,0.12,0.8807,0.025,0.878,0.097
25-01-2022,1726.599976,1740,1700.5,1722.150024,1722.150024,9137653,0.9524,0,0.877,0.123,0.7184,0,0.909,0.091
24-01-2022,1765,1768.650024,1728,1736.800049,1736.800049,7116712,0.9524,0,0.877,0.123,0.8797,0.037,0.864,0.1
21-01-2022,1795,1808,1776,1785.699951,1785.699951,8252758,0.9637,0,0.87,0.13,0.9194,0.05,0.816,0.133
19-01-2022,1916,1916,1862.849976,1867.050049,1867.050049,5747770,0.9776,0,0.858,0.142,0.8074,0.07,0.783,0.147
18-01-2022,1922.099976,1945,1911.449951,1920.75,1920.75,3690315,0.9776,0,0.858,0.142,-0.1779,0.132,0.766,0.102
17-01-2022,1938.550049,1953.900024,1930.5,1939.5,1939.5,5262464,0.9776,0,0.866,0.134,0.3182,0,0.975,0.025
14-01-2022,1882,1933,1881,1929.349976,1929.349976,7688506,0.98,0,0.861,0.139,0.7269,0,0.876,0.124
13-01-2022,1905,1912.5,1866.349976,1896.800049,1896.800049,14277630,0.985,0,0.89,0.11,0.9893,0.02,0.866,0.114
12-01-2022,1868.900024,1889,1860,1877.449951,1877.449951,5362535,0.9911,0,0.892,0.108,0.9958,0.032,0.855,0.113
11-01-2022,1855,1870,1850.150024,1855.599976,1855.599976,5142287,0.9913,0,0.897,0.103,0.6486,0,0.925,0.075
10-01-2022,1815,1869.900024,1813,1850.75,1850.75,7857560,0.9934,0,0.884,0.116,0,0,1,0
07-01-2022,1815.449951,1836,1806.800049,1814.300049,1814.300049,4834389,0.9934,0,0.884,0.116,0.6581,0.054,0.872,0.073
