Date,Open,High,Low,Close,Adj Close,Volume,Comp_Social,Neg_Social,Neu_Social,Pos_Social,Comp_News,Pos_News,Neu_News,Neg_News
11-03-2022,1388.0,1408.949951,1372.699951,1396.800049,1396.800049,7575390,0.9686,0.007,0.897,0.096,0.9578,0.102,0.8740000000000001,0.024
10-03-2022,1427.0,1427.0,1380.25,1392.699951,1392.699951,11136603,0.7096,0.03,0.901,0.07,0.9636,0.099,0.879,0.022
09-03-2022,1330.0,1374.699951,1318.849976,1371.150024,1371.150024,11567347,0.9955,0.053,0.791,0.156,0.9711,0.102,0.878,0.021
08-03-2022,1302.199951,1334.0,1292.0,1327.800049,1327.800049,19606246,-0.9304,0.117,0.793,0.09,0.9721,0.106,0.866,0.0279999999999999
07-03-2022,1318.5,1332.349976,1297.050049,1324.800049,1324.800049,13527229,0.94,0.028,0.915,0.057,0.9829,0.114,0.857,0.0289999999999999
04-03-2022,1360.0,1386.0,1336.900024,1366.5,1366.5,10609682,-0.9194,0.096,0.833,0.071,0.9829,0.11,0.862,0.0279999999999999
03-03-2022,1381.0,1392.0,1362.900024,1371.0,1371.0,8763961,0.9607,0.029,0.905,0.065,0.9871,0.114,0.8490000000000001,0.037
02-03-2022,1386.5,1398.400024,1354.400024,1374.25,1374.25,19252780,0.9894,0.071,0.831,0.098,0.9871,0.114,0.8490000000000001,0.037
28-02-2022,1426.0,1438.550049,1414.050049,1426.25,1426.25,12440416,0.6808,0.088,0.804,0.108,0.9898,0.119,0.845,0.036
25-02-2022,1439.949951,1465.900024,1432.849976,1456.099976,1456.099976,9159327,0.6486,0.038,0.867,0.095,0.991,0.118,0.8490000000000001,0.034
24-02-2022,1449.900024,1474.949951,1407.150024,1419.400024,1419.400024,11815383,-0.836,0.094,0.884,0.022,0.991,0.114,0.8540000000000001,0.032
23-02-2022,1525.099976,1525.699951,1495.650024,1500.900024,1500.900024,4514781,0.743,0.04,0.804,0.155,0.9917,0.11,0.8590000000000001,0.031
22-02-2022,1489.800049,1522.099976,1487.949951,1510.699951,1510.699951,4768098,0.872,0.0,0.908,0.092,0.9936,0.113,0.858,0.0289999999999999
21-02-2022,1504.0,1530.699951,1495.550049,1522.099976,1522.099976,3734033,0.4909,0.012,0.95,0.038,0.9957,0.118,0.855,0.026
18-02-2022,1498.300049,1517.0,1490.449951,1512.349976,1512.349976,3898064,0.0,0.0,1.0,0.0,0.9952,0.114,0.857,0.03
17-02-2022,1513.099976,1522.0,1502.0,1506.5,1506.5,3675604,-0.765,0.154,0.81,0.036,0.9972,0.123,0.85,0.027
16-02-2022,1534.349976,1534.75,1507.0,1515.75,1515.75,5016132,0.6956,0.0,0.915,0.085,0.9977,0.121,0.855,0.025
15-02-2022,1476.0,1524.900024,1473.050049,1517.800049,1517.800049,6567533,0.7626,0.0,0.934,0.066,0.9981,0.122,0.855,0.023
14-02-2022,1490.0,1499.449951,1469.300049,1473.699951,1473.699951,7328310,0.9279,0.022,0.897,0.081,0.998,0.115,0.861,0.025
11-02-2022,1500.25,1525.0,1499.5,1518.849976,1518.849976,5355552,-0.0772,0.147,0.69,0.163,0.9983,0.118,0.8590000000000001,0.024
10-02-2022,1514.0,1535.5,1501.650024,1525.099976,1525.099976,7157265,0.9648,0.025,0.858,0.117,0.9983,0.1169999999999999,0.86,0.023
09-02-2022,1474.0,1499.699951,1467.0,1497.599976,1497.599976,5654171,0.8533,0.069,0.791,0.14,0.9983,0.1159999999999999,0.861,0.023
08-02-2022,1476.400024,1478.449951,1444.550049,1461.849976,1461.849976,6990565,0.9539,0.026,0.884,0.089,0.9984,0.118,0.8590000000000001,0.023
07-02-2022,1512.099976,1519.0,1460.0,1468.150024,1468.150024,6134021,-0.8683,0.096,0.839,0.065,0.9984,0.1159999999999999,0.862,0.022
03-02-2022,1528.75,1539.949951,1509.0,1515.349976,1515.349976,5282381,-0.1901,0.03,0.945,0.025,0.9986,0.108,0.871,0.02
02-02-2022,1511.949951,1535.0,1505.599976,1531.199951,1531.199951,6984645,0.7683,0.031,0.862,0.107,0.9989,0.111,0.87,0.02
01-02-2022,1508.5,1517.0,1473.449951,1497.0,1497.0,7369742,0.9439,0.018,0.877,0.105,0.9989,0.111,0.87,0.02
31-01-2022,1472.75,1491.550049,1466.800049,1485.699951,1485.699951,6421273,-0.9062,0.151,0.834,0.014,0.999,0.114,0.8640000000000001,0.022
