Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,3.03,3.03,2.925,2.98,2.417745,350000
1996-01-02,2.98,3.025,2.95,2.975,2.413689,412000
1996-01-03,2.975,2.995,2.95,2.985,2.421802,284000
1996-01-04,2.985,2.98,2.94,2.965,2.405575,282000
1996-01-05,2.965,2.98,2.95,2.96,2.401519,189000
1996-01-08,2.96,2.95,2.91,2.925,2.373123,237000
1996-01-09,2.925,2.925,2.8,2.83,2.296047,483000
1996-01-10,2.83,2.865,2.81,2.84,2.304161,226000
1996-01-11,2.84,2.88,2.8,2.83,2.296047,318000
1996-01-12,2.83,2.835,2.8,2.825,2.29199,431000
1996-01-15,2.825,2.815,2.775,2.79,2.263594,181000
1996-01-16,2.79,2.8,2.74,2.74,2.223029,358000
1996-01-17,2.74,2.795,2.63,2.655,2.154065,429000
1996-01-18,2.655,2.655,2.6,2.64,2.141896,330000
1996-01-19,2.64,2.63,2.535,2.555,2.072933,426000
1996-01-22,2.555,2.59,2.52,2.545,2.06482,359000
1996-01-23,2.545,2.6,2.51,2.53,2.05265,399000
1996-01-24,2.53,2.53,2.45,2.465,1.999914,449000
1996-01-25,2.465,2.45,2.41,2.435,1.975574,390000
1996-01-26,2.435,2.435,2.435,2.435,1.975574,0
1996-01-29,2.435,2.495,2.395,2.485,2.01614,311000
1996-01-30,2.485,2.55,2.485,2.52,2.044537,452000
1996-01-31,2.52,2.635,2.55,2.59,2.101329,344000
1996-02-01,2.59,2.8,2.6,2.78,2.255481,424000
1996-02-02,2.78,2.995,2.8,2.915,2.36501,819000
1996-02-05,2.915,3.1,2.95,2.995,2.429915,906000
1996-02-06,2.995,3.05,2.95,2.975,2.413689,888000
1996-02-07,2.975,2.925,2.825,2.865,2.324443,586000
1996-02-08,2.865,3.15,2.885,3.045,2.470482,667000
1996-02-09,3.045,3.655,3.35,3.65,2.961333,1720000
1996-02-12,3.65,3.795,3.45,3.51,2.847748,2851000
1996-02-13,3.6,3.6,3.325,3.45,2.799067,1451000
1996-02-14,3.45,3.8,3.59,3.71,3.010012,2464000
1996-02-15,3.71,3.77,3.67,3.685,2.989728,1191000
1996-02-16,3.685,3.675,3.51,3.56,2.888314,1396000
1996-02-19,3.56,3.65,3.5,3.515,2.851804,1297000
1996-02-20,3.515,3.515,3.305,3.365,2.730106,1361000
1996-02-21,3.365,3.365,3.365,3.365,2.730106,0
1996-02-22,3.365,3.475,3.4,3.425,2.778785,848000
1996-02-23,3.425,3.5,3.4,3.42,2.774729,687000
1996-02-26,3.42,3.475,3.375,3.385,2.746332,647000
1996-02-27,3.39,3.425,3.3,3.395,2.754446,841000
1996-02-28,3.395,3.445,3.305,3.325,2.697652,422000
1996-02-29,3.3,3.3,3,3.065,2.486708,1275000
1996-03-01,3.065,3.15,3,3.11,2.523218,732000
1996-03-04,3.11,3.1,3.05,3.065,2.486708,647000
1996-03-05,3.065,3.065,3.065,3.065,2.486708,0
1996-03-06,3.065,3.15,3.08,3.1,2.515105,360000
1996-03-07,3.1,3.15,3.025,3.06,2.482651,486000
1996-03-08,3.06,3.07,3,3.05,2.474539,387000
1996-03-11,3.05,3.045,2.975,2.995,2.429915,324000
1996-03-12,2.995,2.995,2.93,2.955,2.397462,400000
1996-03-13,2.955,3.1,3,3.08,2.498878,486000
1996-03-14,3.08,3.15,3.045,3.07,2.490765,529000
1996-03-15,3.1,3.1,3,3,2.433972,807000
1996-03-18,3,3.025,2.93,2.985,2.421802,388000
1996-03-19,2.985,3,2.9,2.955,2.397462,617000
1996-03-20,2.955,2.955,2.955,2.955,2.397462,0
1996-03-21,2.955,3.015,2.95,3.005,2.438029,643000
1996-03-22,3.005,3.02,2.935,2.995,2.429915,194000
1996-03-25,2.995,3.05,2.98,3.025,2.454255,413000
1996-03-26,3.025,3.08,2.98,3.045,2.470482,643000
1996-03-27,3.045,3.11,3.03,3.1,2.515105,795000
1996-03-28,3.1,3.275,3.13,3.21,2.60435,1124000
1996-03-29,3.21,3.31,3.2,3.245,2.632746,1356000
1996-04-01,3.245,3.3,3.24,3.29,2.669255,963000
1996-04-02,3.29,3.45,3.28,3.4,2.758502,1835000
1996-04-03,3.4,3.6,3.4,3.49,2.831521,2082000
1996-04-04,3.49,3.455,3.35,3.405,2.762558,1134000
1996-04-05,3.405,3.405,3.405,3.405,2.762558,0
1996-04-08,3.405,3.47,3.41,3.45,2.799067,925000
1996-04-09,3.45,3.46,3.355,3.385,2.746332,1219000
1996-04-10,3.385,3.46,3.24,3.285,2.6652,904000
1996-04-11,3.25,3.34,3.25,3.335,2.705765,631000
1996-04-12,3.335,3.385,3.28,3.35,2.717936,564000
1996-04-15,3.41,3.455,3.375,3.425,2.778785,988000
1996-04-16,3.42,3.435,3.36,3.375,2.738219,783000
1996-04-17,3.375,3.525,3.425,3.505,2.843691,1546000
